date,channel,country,platform,spend,impressions,clicks,installs,iap_revenue,user_id,metric_factor_01,metric_factor_02,metric_factor_03,metric_factor_04,metric_factor_05,metric_factor_06,metric_factor_07,metric_factor_08,metric_factor_09,metric_factor_10,metric_factor_11,metric_factor_12,metric_factor_13,metric_factor_14,metric_factor_15,metric_factor_16,metric_factor_17,metric_factor_18,metric_factor_19,metric_factor_20,metric_factor_21,metric_factor_22,metric_factor_23,metric_factor_24,metric_factor_25,metric_factor_26,metric_factor_27,metric_factor_28,metric_factor_29,metric_factor_30,metric_factor_31,metric_factor_32,metric_factor_33,metric_factor_34,metric_factor_35,metric_factor_36,metric_factor_37,metric_factor_38,metric_factor_39,metric_factor_40
2025-01-01,Google Ads,USA,Android,474.32,26299,867,289,878.01,1,0.5219,64.0271,86.4041,41.2468,17.3672,94.1329,70.8115,19.028,88.5692,24.0039,31.7684,63.7015,8.6138,71.7136,1.9827,4.6602,88.0049,69.5835,17.7185,56.6618,36.8444,34.5416,24.0076,51.986,55.2404,65.0203,9.5114,75.7284,27.5186,45.0084,70.4795,17.8364,65.8486,62.4222,61.4658,81.0168,60.3576,84.1131,51.3893,29.262
2025-01-01,Google Ads,DEU,iOS,283.77,21534,666,222,638.81,1,1.4697,25.4152,15.9452,91.2473,52.9172,26.5828,65.7472,57.7123,46.2489,2.7356,8.5986,9.0859,46.8839,12.2249,91.6259,14.7997,12.6625,8.8426,76.4037,53.1236,90.3753,17.5143,8.7514,63.9556,48.2571,4.0421,40.7392,97.1739,70.0887,0.1224,60.2469,52.8299,9.9226,77.1144,93.9842,99.9243,32.3115,94.8098,53.1237,45.5806
2025-01-01,Google Ads,DEU,Android,203.23,21476,944,236,640.04,1,65.7998,98.7513,79.2165,89.5719,64.0596,53.6373,98.4025,42.7518,55.0585,5.405,47.1749,91.6157,89.7254,10.4994,90.8516,99.209,39.8947,91.7676,28.0986,34.9908,32.0839,99.2818,6.8566,59.3855,0.2747,46.4784,89.9913,32.4786,25.2899,85.3785,5.1941,63.7704,57.3722,97.0145,57.4303,63.7518,51.6695,98.771,8.9417,15.9024
2025-01-01,Google Ads,FRA,iOS,209.46,21690,964,241,640.5,1,65.7819,16.11,33.1143,18.6476,39.2653,5.9557,41.0822,50.9061,44.2008,5.9476,38.4676,4.3474,34.2058,90.5436,73.8004,5.4633,53.109,91.8879,22.5806,51.7088,17.6023,86.4742,68.4005,73.8536,11.986,49.0618,91.1301,29.6511,62.7061,75.9427,88.3975,9.301,73.2641,19.684,11.9015,91.4484,51.4326,93.132,1.8122,74.6869
2025-01-01,Google Ads,FRA,Android,352.36,27075,1083,361,815.8,1,97.5937,62.7052,49.673,62.6843,88.1748,36.2842,72.5343,21.7164,92.9743,38.2076,6.8266,77.4977,25.9232,64.133,0.1476,73.3659,70.6078,20.9574,9.2757,87.6064,46.6164,59.8585,40.6822,24.5026,96.8165,23.4753,60.5599,91.8663,75.3826,78.0533,46.104,45.6187,12.0214,65.4265,41.7413,48.0122,38.988,91.4441,82.2305,6.5141
2025-01-01,Google Ads,GBR,iOS,392.22,36127,794,397,638.24,1,14.9194,54.7291,4.9264,1.8938,59.8595,10.4781,91.1512,76.9961,67.7877,1.0176,87.0923,29.1808,94.953,6.5152,8.0969,82.2401,28.5069,45.0317,50.2065,74.6298,34.0897,60.152,95.4213,58.4537,2.2815,24.1638,28.9713,61.7546,12.481,66.2405,33.1216,32.9279,18.7961,51.3271,92.7847,90.8288,81.3909,12.3654,40.6726,33.562
2025-01-01,Google Ads,GBR,Android,493.53,23247,1148,287,686.55,1,84.1572,36.342,61.4014,19.3534,87.4213,80.3564,20.5795,38.5862,49.3504,75.768,79.6525,10.2042,13.3861,64.0097,19.2592,44.4295,7.0055,5.2931,2.3777,87.8274,84.2692,2.9728,44.933,24.3616,78.5002,72.018,60.4344,27.0484,20.7484,37.1528,27.9121,5.0779,0.6191,17.9744,51.7791,91.5277,95.3106,36.7078,48.2887,67.9727
2025-01-01,Google Ads,CAN,iOS,145.94,4488,264,88,180.81,1,53.6338,2.9624,6.46,86.8044,1.0848,77.6416,69.0153,3.8906,37.3886,57.2279,57.2175,53.3919,9.2107,40.8761,28.1009,84.863,40.064,12.8976,63.4115,54.6589,94.2882,90.7031,31.4978,34.707,2.3994,77.236,32.1566,97.0368,52.471,58.4785,42.3432,7.7522,25.67,70.968,43.326,78.1591,93.3092,89.3622,73.5765,20.3276
2025-01-01,Google Ads,CAN,Android,346.93,27606,1284,321,674.17,1,44.6826,82.0748,15.761,5.5006,55.1104,35.1484,34.3889,53.1274,27.0819,6.4988,36.1675,0.1557,55.8339,3.803,56.4603,27.5234,20.137,82.4752,19.5986,27.2222,31.3647,64.1855,93.3159,12.2469,57.7367,39.0268,61.6699,34.6149,85.2305,66.0668,38.6264,95.7281,55.3619,78.1883,62.5084,67.0464,1.7398,19.0828,73.2848,21.7433
2025-01-01,Facebook Ads,USA,iOS,525.84,26970,930,465,1304.37,1,49.7448,0.3456,53.0669,58.3013,66.2387,31.5243,76.5618,36.6961,86.2212,17.8393,67.1045,1.3451,38.6098,47.002,79.5856,65.5602,70.5782,60.1366,94.7069,6.6477,41.2256,50.5045,37.9605,75.9887,42.5451,45.2324,35.7109,82.6256,44.1696,91.8363,0.5159,67.9109,5.68,30.138,85.1624,90.2018,70.4309,83.2204,96.9978,20.8661
2025-01-01,Facebook Ads,USA,Android,262.49,9240,616,154,572.41,1,3.219,33.8872,65.0087,48.9381,52.9161,88.551,8.3106,36.2992,6.2652,95.5372,90.0358,35.3037,38.4384,86.2994,82.9311,69.7564,39.7963,18.6515,16.6429,38.5057,92.5285,9.9785,78.1738,12.0964,67.7786,52.5111,62.798,42.5881,9.4709,26.889,69.1613,94.7825,76.0537,18.4203,83.5263,17.9712,26.4094,15.6524,69.51,62.6761
2025-01-01,Facebook Ads,DEU,iOS,431.6,25172,1624,406,675.79,1,99.0837,81.7706,99.6349,74.6936,77.7202,38.1446,1.8625,18.2222,92.3154,15.0921,86.4953,13.7177,42.5356,26.5994,77.5632,42.2428,63.329,22.2911,46.0155,39.6571,3.8321,74.4642,60.3858,49.2314,48.1921,15.4005,0.2894,40.9432,24.4995,46.4529,88.2329,43.1602,39.7927,88.4497,46.4303,24.8424,72.1214,50.3125,38.9213,92.7953
2025-01-01,Facebook Ads,DEU,Android,462.79,13056,768,256,418.4,1,77.0691,2.5797,15.2208,12.178,36.1388,62.5054,55.8782,37.5246,16.4825,10.5263,34.1474,3.788,59.5813,97.8357,76.1643,98.1152,13.3163,75.4888,93.6144,31.6629,30.3904,9.0608,67.4295,71.9195,67.3512,0.6226,45.1439,85.397,15.835,29.115,30.1801,29.0354,77.3629,42.3077,26.1826,68.9876,80.2501,27.0599,91.5545,15.1659
2025-01-01,Facebook Ads,FRA,iOS,125.83,8000,400,100,155.29,1,80.6757,43.559,4.8755,65.5169,53.0081,51.1231,92.6338,73.0091,31.4655,62.6707,20.2892,92.4868,34.4654,38.7458,4.3615,79.7091,2.2463,71.3708,10.9458,92.6871,28.7072,12.4912,80.6961,98.9467,74.4337,28.1084,80.1065,42.2429,43.2038,75.5685,67.2684,98.6092,99.5027,1.4186,86.443,79.8055,96.2064,72.2069,99.6217,90.1286
2025-01-01,Facebook Ads,FRA,Android,517.17,24336,1872,468,1134.15,1,67.2424,4.311,54.9842,30.4751,93.2881,84.1437,2.2648,1.213,0.0837,56.3666,70.5326,16.1551,6.5062,6.0373,46.9819,60.3576,85.6656,5.774,78.358,70.4269,23.6156,55.0286,9.7588,29.255,40.3709,94.9145,97.1905,65.7418,22.8817,22.2883,43.6507,9.4293,15.9218,75.6694,51.9588,53.2144,7.9692,82.2131,46.6959,44.822
2025-01-01,Facebook Ads,GBR,iOS,397.02,21240,590,295,519.37,1,80.8424,29.4924,23.4206,31.7024,0.2689,13.7276,83.8546,59.6129,2.1433,60.3989,20.0858,20.2062,71.1262,98.1816,95.1613,46.9278,95.0595,41.478,35.9329,60.5926,3.7451,12.5101,46.239,2.1268,47.8891,90.2929,62.443,49.6201,29.5255,11.2698,23.3534,50.4913,17.9302,1.5952,26.0618,48.2306,25.1034,30.0132,1.7157,73.2052
2025-01-01,Facebook Ads,GBR,Android,211.16,12864,536,134,253.31,1,31.7561,84.1072,37.5788,13.3784,10.0697,95.233,91.6551,12.1207,97.9408,54.0706,61.9441,52.6027,72.7671,84.9196,95.7171,57.0845,42.7357,64.0332,82.622,39.0788,39.8558,1.9601,85.1694,53.3579,97.611,28.4918,82.3021,15.9546,88.7099,86.6417,51.4331,83.4416,46.7913,47.8017,9.6776,23.5137,86.199,34.4446,54.7005,14.3145
2025-01-01,Facebook Ads,CAN,iOS,523.33,27666,1431,477,1380.08,1,96.6658,88.4971,1.4952,30.438,15.7466,7.2316,62.1525,78.095,68.9423,75.7328,71.7357,3.031,36.3779,92.9901,90.1066,97.684,92.943,50.5872,25.3081,68.9297,53.5593,76.7316,89.1227,89.3665,2.7384,79.9728,23.8544,80.0668,24.8246,59.9113,99.1314,98.4316,96.6811,55.6641,43.3298,71.6312,55.6779,78.8925,73.811,25.8346
2025-01-01,Facebook Ads,CAN,Android,335.7,25992,1083,361,657.72,1,12.8726,34.2474,39.7306,67.2207,37.834,85.3429,97.8922,89.7823,44.4505,66.5241,18.1242,34.5163,6.1929,8.6294,47.9829,47.3155,83.7679,28.5677,53.7338,0.2974,49.6852,62.7916,65.8267,29.4912,78.7518,33.0195,68.8833,10.8617,49.9365,9.3269,30.4898,20.0154,91.0199,18.3102,93.1944,36.8851,12.0498,14.0974,27.1745,38.3853
2025-01-02,TikTok,USA,iOS,449.8,25680,1284,428,1532.37,1,55.6973,34.2149,32.711,14.2174,33.2421,28.0036,98.2397,83.121,86.6968,0.2528,4.441,15.1721,33.7419,15.8789,67.1988,92.6069,9.5807,82.3947,73.057,45.8679,88.8281,68.351,22.0655,19.4819,22.7897,89.3742,46.9519,66.3372,0.377,51.9908,9.5243,51.8273,72.2064,84.437,71.8723,62.6819,73.8498,80.3416,93.2029,39.9032
2025-01-02,TikTok,USA,Android,408.1,11825,860,215,617.97,1,66.8451,29.9373,89.9912,32.042,81.1445,85.8675,80.8038,52.0645,14.7534,23.0987,18.3668,45.5697,6.7322,18.6825,72.1366,63.6306,21.7793,9.3142,63.3643,61.8874,76.7474,59.4041,77.367,41.4915,29.4062,30.7856,7.9893,51.0961,35.0056,29.4708,55.5226,77.4753,83.7467,54.5743,34.3047,52.4728,70.4463,21.4108,59.7501,98.6724
2025-01-02,TikTok,DEU,iOS,533.95,32886,1512,378,738.47,1,78.5106,56.1199,92.2702,84.5253,30.9378,92.9646,99.7206,85.0325,20.5148,75.8669,92.7633,15.2781,46.1515,18.7999,86.3977,4.7859,67.4474,72.4148,23.1296,23.8759,70.1416,95.1239,75.5934,47.8866,40.6394,25.4853,96.9662,53.7848,97.2141,31.2993,70.4918,34.0372,66.2229,45.1869,33.0942,7.8121,4.8077,58.4886,51.4057,59.0073
2025-01-02,TikTok,DEU,Android,459.32,29274,714,357,569.15,1,11.8694,74.4987,94.7892,55.776,85.8126,90.1293,70.27,81.2711,70.4141,63.9133,44.1071,94.2619,49.6016,65.8365,71.762,42.9762,90.3492,93.3592,90.1425,47.8277,3.0861,45.2428,23.9028,59.0019,65.6346,41.3847,44.4341,86.0161,34.8333,44.3102,49.4206,81.6164,12.4844,94.2308,75.7147,55.0443,86.788,35.6336,97.0865,92.0514
2025-01-02,TikTok,FRA,iOS,535.38,46592,2048,512,1000.33,1,22.1246,93.5191,70.8631,56.6449,34.5828,69.2434,22.2812,63.0423,54.1611,85.297,70.5796,59.7,69.011,17.9536,84.7521,84.4914,69.9868,91.5283,47.1313,86.904,85.0834,88.9853,66.4621,89.7088,55.283,13.5591,26.225,75.8886,83.9619,84.9308,71.7835,14.4336,13.7268,2.8969,95.2867,62.0786,45.9711,57.5328,32.4317,61.4782
2025-01-02,TikTok,FRA,Android,564.12,18444,1044,348,486.95,1,47.4972,0.4177,55.5279,74.0675,34.7255,89.6353,69.7793,22.1977,91.6866,84.6951,19.0038,78.5213,86.7994,35.3864,72.8471,79.6354,9.8338,12.062,22.7208,49.4938,7.6415,77.8026,65.8576,41.6587,43.2188,6.7703,70.2941,30.7078,85.0541,59.6455,54.605,55.3862,6.2546,68.945,10.2197,23.5262,5.1573,19.7742,65.0982,41.1749
2025-01-02,TikTok,GBR,iOS,179.8,6954,342,114,154.9,1,49.7612,80.0835,45.5421,48.1386,64.4816,19.2527,74.8681,23.1854,79.3004,52.7184,32.5269,28.5062,32.9559,38.4874,7.3015,35.7151,98.8768,29.269,4.1478,28.4109,25.2944,46.5776,4.7301,86.9024,9.2877,85.1348,6.9993,81.713,5.3294,31.1795,40.0462,59.2228,49.2345,84.4168,17.4789,54.3452,10.8462,71.3934,46.578,48.6032
2025-01-02,TikTok,GBR,Android,536.33,25389,546,273,423.33,1,72.3604,44.2536,14.0449,29.5129,20.4726,71.2903,3.7815,50.1069,21.9107,24.2112,83.6284,82.1184,84.2238,63.7281,25.1725,8.5898,51.6657,48.8594,13.6191,83.0681,43.2171,68.9195,72.23,95.6715,27.9626,45.7492,62.4847,66.9968,4.277,58.3406,2.6167,60.6315,31.7976,38.9412,95.2557,41.5458,97.0274,62.2104,73.8451,96.1674
2025-01-02,TikTok,CAN,iOS,201.36,20500,750,250,683.14,1,58.2002,52.332,26.3994,71.5845,2.4356,13.3049,65.4043,19.6963,42.3118,11.5173,41.5944,55.91,14.1751,95.6936,28.324,40.9495,93.4273,54.6385,61.3543,8.7795,64.205,64.4436,26.1562,42.0093,74.7946,21.586,44.9743,43.7433,2.6015,51.1149,14.317,36.562,44.11,72.125,41.7563,16.2699,74.3233,73.1942,12.5024,47.6769
2025-01-02,TikTok,CAN,Android,272.13,16770,390,195,742.68,1,29.4831,94.9704,34.8592,35.7389,46.0296,9.7455,37.7689,71.3962,0.0031,35.8889,67.391,91.3047,75.7238,56.2144,97.6298,36.8266,2.6337,21.8473,66.9039,66.2291,75.1016,97.2206,81.6183,72.9004,19.965,87.1661,88.066,63.5682,15.7198,90.4519,18.9016,5.9905,63.1635,42.0366,7.6904,52.2199,96.6355,81.5426,67.9986,64.0884
2025-01-02,Google Ads,USA,iOS,207.2,13104,468,156,404.0,1,74.7587,45.4047,75.594,60.6893,38.956,93.5662,84.0468,91.0507,36.1597,41.645,64.2653,41.5955,12.4406,48.8083,66.0851,22.8326,80.6767,61.0663,34.9229,13.8043,22.118,70.2555,82.2534,92.1739,23.9832,99.5869,39.5006,26.5891,6.4103,5.1377,38.2091,47.423,10.4017,33.9801,14.1868,20.9065,6.8614,95.2272,7.9726,97.6543
2025-01-02,Google Ads,USA,Android,412.15,19680,984,246,928.41,1,85.4829,33.2975,0.3327,78.6342,90.311,97.9976,13.9755,90.5327,65.2885,87.0885,78.9239,86.105,42.9051,24.8141,40.3468,79.0175,72.7825,85.433,92.941,55.9051,44.1552,89.5788,31.2489,46.0045,61.3418,7.072,82.8019,69.2947,92.2428,17.2196,95.1283,90.5254,57.1235,28.6758,45.2037,52.8944,79.8172,31.4844,69.9645,40.5717
2025-01-02,Google Ads,DEU,iOS,260.56,8823,692,173,363.13,1,89.5728,97.4242,15.395,95.0281,5.7045,78.4667,93.5008,2.4729,21.1067,90.3093,63.708,71.2712,22.3167,86.5345,93.9772,86.4469,8.0688,99.0942,24.4659,97.5324,81.1187,54.5162,50.4798,31.1863,49.3681,47.071,52.0949,88.1576,77.9426,79.3053,41.6506,61.4083,40.8036,33.4459,45.6937,22.9492,1.5821,80.3253,36.0117,56.2094
2025-01-02,Google Ads,DEU,Android,171.2,13871,286,143,240.0,1,47.1311,12.8151,70.6504,15.7428,91.9953,65.5326,38.0226,64.6789,12.3844,96.9923,34.6406,0.0549,36.5068,1.744,64.9254,14.0066,86.1977,78.6251,73.5273,71.2923,93.2951,41.2227,93.8637,7.088,88.6585,87.7851,26.4689,58.3213,18.8537,50.3414,19.5476,9.6853,12.4775,9.2626,91.9363,3.0725,39.5897,89.8705,99.3922,74.3748
2025-01-02,Google Ads,FRA,iOS,240.45,8037,423,141,394.82,1,14.8016,28.959,3.5551,78.6756,64.9854,21.9555,57.1245,67.6529,14.5996,68.6497,63.4035,10.6732,7.5848,18.579,57.9259,16.332,31.5968,21.159,19.0034,53.0987,45.6734,57.3655,91.4915,71.1406,43.1484,67.2062,96.2296,82.3043,57.1118,34.119,2.1318,4.2571,22.7748,30.5077,51.58,33.6904,63.1546,87.258,89.8815,95.584
2025-01-02,Google Ads,FRA,Android,435.16,31066,951,317,826.99,1,44.0524,17.6832,89.294,96.5066,51.7885,1.9304,23.1367,50.5497,80.6941,89.8589,99.6755,35.3109,69.2146,85.6812,20.6499,22.0603,96.0632,86.2159,23.3895,57.8788,26.0061,1.523,55.8585,82.2136,38.5141,71.3081,11.542,95.1826,77.8092,28.7928,68.7565,80.67,25.0453,30.4771,38.3706,77.8169,28.5569,12.1803,0.1066,28.42
2025-01-02,Google Ads,GBR,iOS,431.55,17484,564,282,605.93,1,11.8298,76.2842,17.6179,0.1545,56.1591,63.7071,96.4895,28.5129,88.5976,65.2618,51.0929,40.4556,46.1284,55.2272,70.5854,96.4065,31.8527,49.4581,4.4319,45.1038,47.5183,53.2793,73.7774,48.6682,99.5066,30.676,32.81,83.9281,71.8569,22.2858,3.8205,39.7241,79.2925,1.7966,77.7575,42.3581,54.8542,39.5538,22.4977,88.6561
2025-01-02,Google Ads,GBR,Android,394.5,28968,1704,426,660.78,1,61.5396,78.7744,1.4798,54.8524,78.7469,79.6491,21.4659,92.2477,82.1404,31.1093,52.8905,32.3004,23.2355,13.2703,81.4939,84.3225,33.0646,91.1047,46.6919,27.1996,30.1833,86.4906,63.4472,28.2634,85.9292,83.5895,37.517,14.8047,39.9754,13.1894,59.2891,18.0534,83.2624,72.2964,54.4394,76.1879,80.2947,68.5052,56.6001,79.3072
2025-01-02,Google Ads,CAN,iOS,568.79,20480,640,320,484.53,1,94.5379,20.2527,55.5383,46.0457,40.13,74.1576,10.6731,34.3946,50.3026,63.2252,63.316,37.1087,65.0324,90.5931,44.3917,44.7482,88.211,39.4585,70.9786,59.8401,97.8391,77.0224,45.9885,76.902,2.5104,3.2564,51.6011,95.3283,43.6729,80.4142,18.2907,56.1925,85.5999,82.2452,38.8376,26.5207,79.2578,32.8188,77.6055,78.9427
2025-01-02,Google Ads,CAN,Android,467.22,21335,1004,251,735.91,1,47.3686,20.4998,59.2513,24.679,54.7482,76.4868,80.6859,66.5959,48.8601,77.0624,62.9317,77.6048,37.0312,77.9094,51.0592,22.5093,7.8933,33.6759,13.0744,31.0777,18.4461,42.7068,50.9632,52.8664,49.75,48.7009,77.5525,17.3376,62.9923,20.2113,35.2824,18.4203,89.1638,97.8219,67.5668,13.2768,44.0485,15.4019,85.6927,20.4861
2025-01-02,Facebook Ads,USA,iOS,570.78,45936,1856,464,1586.15,1,47.5699,7.2607,38.2077,39.1819,44.5999,59.9582,82.0638,46.273,11.4002,13.2382,65.7269,4.8709,58.768,40.3723,96.5466,60.844,93.8335,36.5975,34.2995,22.0202,93.4928,20.1529,61.0088,48.6958,97.4567,28.6313,30.6219,66.6205,7.0516,59.4208,66.6913,54.2236,97.4863,87.9888,79.6784,9.3637,63.3387,47.565,7.9509,10.3496
2025-01-02,Facebook Ads,USA,Android,563.44,27348,2064,516,2023.8,1,82.001,5.41,49.4205,31.3727,29.8179,58.3003,93.8646,82.4342,79.9182,11.4323,12.4387,80.8296,98.3781,89.4573,15.4695,96.2683,42.4704,65.3628,15.8008,11.9558,78.24,28.0115,24.6162,4.1052,13.9577,30.433,36.5974,49.7593,75.329,26.9676,91.2452,83.9302,71.4157,24.9581,90.4994,59.2342,49.3099,22.5951,35.6847,10.6215
2025-01-02,Facebook Ads,DEU,iOS,318.2,9790,534,178,299.35,1,75.2955,70.1288,8.6648,77.6565,66.0487,47.0994,51.3234,0.7037,93.966,71.1284,92.6777,55.3231,69.3942,2.6563,84.8791,42.1716,45.6199,88.9114,63.3339,75.9275,17.1228,3.2972,15.1706,9.8894,59.6598,8.2706,31.2049,68.1463,13.159,57.9977,8.0331,23.0879,32.3473,67.6998,56.2017,50.4369,93.8725,76.277,80.8499,10.9523
2025-01-02,Facebook Ads,DEU,Android,148.55,6825,210,105,240.36,1,95.2862,78.4488,61.6541,29.8496,87.84,58.7215,45.4243,98.934,47.7037,49.3974,20.4793,82.6503,66.807,27.302,39.4885,81.4887,72.0323,76.026,3.3244,67.5538,79.2611,77.0113,33.2688,67.2559,99.0243,96.6653,3.8845,60.4853,25.6278,54.7953,82.9265,39.9645,9.8872,85.125,13.0815,87.8866,95.8193,33.6904,61.2467,0.5925
2025-01-02,Facebook Ads,FRA,iOS,322.42,14931,948,237,526.7,1,34.651,91.2189,23.0883,32.091,31.9927,93.5718,50.174,10.4916,10.8604,47.2857,57.0461,39.9037,42.5036,82.6474,37.3926,27.7484,97.2354,60.0183,92.6832,22.8058,6.6829,48.2851,89.7589,44.2617,56.7069,49.5481,97.4134,18.6723,32.3826,36.5265,31.047,37.1386,94.3461,30.6232,35.8464,4.5321,41.9963,6.5187,47.6524,99.8685
2025-01-02,Facebook Ads,FRA,Android,347.83,19150,1149,383,587.81,1,58.5005,22.0753,68.3121,35.4974,99.9949,12.8026,12.1173,71.5167,12.2306,93.7594,13.3427,11.3911,28.4895,7.1637,70.2214,82.3208,31.631,81.6455,4.3045,99.4027,20.5759,19.0995,17.6647,21.0562,24.2211,89.4761,57.7499,82.5315,69.0373,55.4095,25.8494,6.8302,13.011,58.7615,34.2943,12.0926,80.915,92.9498,1.5193,27.1223
